Contract Year,Contract ID,URL,Response Format
2027,"H0028 - CHA HMO, INC.",https://fhir.humana.com/api,FHIR JSON
2027,"H0029 - COORDINATED CARE OF WASHINGTON, INC.",,
2027,"H0034 - HAMASPIK, INC.",,
2027,"H0062 - SUPERIOR HEALTHPLAN, INC.",,
2027,"H0074 - WELLCARE OF MISSISSIPPI, INC.",,
2027,H0104 - BLUE CROSS AND BLUE SHIELD OF ALABAMA,https://employers.bcbsal.org/portal/documents/d/guest/index-json,FHIR JSON
2027,H0107 - HEALTH CARE SERVICE CORPORATION,,
2027,"H0111 - WELLCARE OF GEORGIA, INC.",,
2027,"H0154 - VIVA HEALTH, INC.",,
2027,"H0169 - UNITEDHEALTHCARE OF WISCONSIN, INC.",,
2027,"H0174 - WELLCARE OF TEXAS, INC.",,
2027,"H0251 - UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",,
2027,H0270 - WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,,
2027,"H0292 - HUMANA HEALTH PLAN OF OHIO, INC.",https://fhir.humana.com/api,FHIR JSON
2027,H0294 - UNITEDHEALTHCARE INSURANCE COMPANY,,
2027,"H0302 - MEDISUN, INC.",https://inno-cms-prd-pb.s3.us-east-1.amazonaws.com/bcbsaz_2027/index.json,FHIR JSON
2027,"H0321 - ARIZONA PHYSICIANS IPA, INC.",,
2027,"H0332 - KS PLAN ADMINISTRATORS, LLC",,
2027,"H0351 - HEALTH NET OF ARIZONA, INC.",,
2027,"H0354 - BRAVO HEALTH PENNSYLVANIA, INC.",https://data.healthspring.healthlx.com:8003/,FHIR JSON
2027,"H0363 - LONGEVITY HEALTH PLAN OF COLORADO, INC.",,
2027,H0413 - DEVOTED HEALTH INSURANCE COMPANY OF DELAWARE,https://fhir.devoted.com/H0413/2026,FHIR JSON
2027,H0421 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,,
2027,"H0423 - METROPLUS HEALTH PLAN, INC.",,
2027,"H0432 - UNITEDHEALTHCARE OF THE MIDLANDS, INC.",,
2027,"H0439 - HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",https://data.healthspring.healthlx.com:8003/,FHIR JSON
2027,H0473 - HUMANA INSURANCE COMPANY OF KENTUCKY,https://fhir.humana.com/api,FHIR JSON
2027,H0504 - CALIFORNIA PHYSICIANS' SERVICE,https://cloud-api.blueshieldca.com/fhir-cms-client/api/cms-export/H0504/2026,FHIR JSON
2027,H0523 - AETNA HEALTH OF CALIFORNIA INC.,https://apif1.aetna.com/fhir/v1/providerdirectorydata/healthcareservice https://apif1.aetna.com/fhir/v1/providerdirectorydata/insuranceplan https://apif1.aetna.com/fhir/v1/providerdirectorydata/location https://apif1.aetna.com/fhir/v1/providerdirectorydata/organization https://apif1.aetna.com/fhir/v1/providerdirectorydata/organizationaffiliation https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitioner https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitionerrole,FHIR JSON
2027,"H0524 - KAISER FOUNDATION HP, INC.",,
2027,H0543 - UHC OF CALIFORNIA,,
2027,H0544 - BLUE CROSS OF CALIFORNIA,,
2027,"H0562 - HEALTH NET OF CALIFORNIA, INC.",,
2027,H0571 - CHINESE COMMUNITY HEALTH PLAN,,
2027,"H0609 - UnitedHealthcare Benefits of Texas, Inc.",,
2027,"H0624 - UnitedHealthcare Benefits of Texas, Inc.",,
2027,H0628 - AETNA HEALTH OF OHIO INC.,https://apif1.aetna.com/fhir/v1/providerdirectorydata/healthcareservice https://apif1.aetna.com/fhir/v1/providerdirectorydata/insuranceplan https://apif1.aetna.com/fhir/v1/providerdirectorydata/location https://apif1.aetna.com/fhir/v1/providerdirectorydata/organization https://apif1.aetna.com/fhir/v1/providerdirectorydata/organizationaffiliation https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitioner https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitionerrole,FHIR JSON
2027,"H0629 - ANTHEM INSURANCE COMPANIES, INC.",,
2027,H0630 - KAISER FOUNDATION HP OF CO,,
2027,"H0672 - HEALTHSPRING HEALTHCARE OF COLORADO, INC.",https://data.healthspring.healthlx.com:8003/,FHIR JSON
2027,H0710 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,,
2027,"H0712 - WELLCARE OF CONNECTICUT, INC.",,
2027,"H0738 - AmeriHealth Caritas VIP Next, Inc.",,
2027,H0755 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,,
2027,"H0764 - UNITEDHEALTHCARE OF NEW ENGLAND, INC.",,
2027,"H0777 - MASS GENERAL BRIGHAM HEALTH PLAN, INC",,
2027,"H0816 - BESHP, INC.",,
2027,"H0907 - WELLPOINT IOWA, INC.",,
2027,"H0908 - BUCKEYE COMMUNITY HEALTH PLAN, INC.",,
2027,"H0913 - WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",,
2027,"H0963 - HUMANA MEDICAL PLAN OF MICHIGAN, INC.",https://fhir.humana.com/api,FHIR JSON
2027,H0976 - SCAN HEALTH PLAN,,
2027,"H0978 - SCAN HEALTH PLAN NEVADA, INC.",,
2027,"H0982 - SOLIS HEALTH PLANS, INC.",https://solisapigwprovider.azurewebsites.net/api/provider-directory/H0982/001/000/fhir.json,FHIR JSON
2027,"H1019 - CAREPLUS HEALTH PLANS, INC.",https://fhir.humana.com/api,FHIR JSON
2027,"H1032 - Sunshine State Health Plan, Inc.",,
